NAME,NOMBRE,LUGAR,Tipo,LAT,LON,URL,Elevation,g24hours,g4weeks,Provincia,Status,Fecha Inicio,Fecha Final,x,y
Bocas del Toro Marine Station,Estación Marina Bocas del Toro,Bocas del Toro,Tipo A Automática,9.350818,-82.25786,http://biogeodb.stri.si.edu/physical_monitoring/research/bocas,1,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/Bocas_24hrs.png,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/Bocas_4weeks.png,Bocas del Toro,Active,"1/5/2005, 7:00 PM",,361868.98699999973,1033884.3114999998
Celestino Station,Estación Celestino,Agua Salud,Tipo A Automática,9.211424,-79.72656,http://biogeodb.stri.si.edu/physical_monitoring/research/aguasalud,0,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/Celestino_tower24h.png,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/Celestino_tower4W.png,Colón,Active,"7/5/2015, 7:00 PM",,639897.0256000003,1018475.6018000003
Clearing,El Claro,Barro Colorado,Desconocida,9.163064,-79.83832,http://biogeodb.stri.si.edu/physical_monitoring/research/barrocolorado,100,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/BCI_Clear_24hrs.png,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/BCI_Clear_4weeks.png,Panamá,Active,"12/31/1971, 7:00 PM",,627635.4474,1013086.2640000004
Conrad Weir,BCI Conrand Weir,Barro Colorado Island,Desconocida,9.150648,-79.85675,http://biogeodb.stri.si.edu/physical_monitoring/research/barrocolorado#conrad,127,,,Panamá,Active,,,625614.5636999998,1011706.7934000008
Culebra Tower,Torre Punta Culebra,Punta Culebra Nature Center,Desconocida,8.910847,-79.52888,http://biogeodb.stri.si.edu/physical_monitoring/,10,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/CulebraTower_24hrs.png,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/CulebraTower_4weeks.png,Panamá,Active,,,661753.3794999998,985317.4045000002
Furtuna,Fortuna,Hidroeléctrica Fortuna,Desconocida,8.722246,-82.23727,http://biogeodb.stri.si.edu/physical_monitoring/research/fortuna,0,,,Chiriquí,Active,,,363894.1867000004,964367.5823999997
Galeta,Isla Galeta,Galeta Island Marine Education Center,Desconocida,9.402127,-79.86093,http://biogeodb.stri.si.edu/physical_monitoring/,3,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/GaletaTower_24hrs.png,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/GaletaTower_4weeks.png,Colón,Active,,,625066.5038000001,1039513.8516000006
Gamboa,Gamboa,Gamboa,Desconocida,9.11642,-79.70028,http://biogeodb.stri.si.edu/physical_monitoring/,33, , ,Colón,Active,,,642823.381,1007979.9537000004
Isla Maje,Isla Maje,Chepo,Tipo B Convencional,9.133333,-78.8,,60,,,Panamá,Inactive,"1/1/1973, 7:00 PM","1/9/1978, 7:00 PM",741778.3805999998,1010330.2699999996
Lutz Tower,Torre Lutz,Barro Colorado Island,Desconocida,9.161766,-79.83768,http://biogeodb.stri.si.edu/physical_monitoring/research/barrocolorado,104,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/BCI_Lutz1_24hrs.png,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/BCI_Lutz1_4weeks.png,Panamá,Active,"12/31/1971, 7:00 PM",,627705.5363999996,1012942.9447000008
Metropolitano Park Canopy Crane,Grúa Parque Metropolitano,Parque Natural Metropolitano ,Tipo A Automática,8.994492,-79.54298,http://biogeodb.stri.si.edu/physical_monitoring/research/metpark,92,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/Metpark_24hrs.png,http://biogeodb.stri.si.edu/physical_monitoring/images/charts/Metpark_4weeks.png,Panamá,Active,"12/31/1994, 7:00 PM",,660165.9391999999,994561.6604999993
San Lorenzo Canopy Crane,Grúa Parque San Lorenzo,Parque Nacional San Lorenzo,Desconocida,9.281099,-79.97459,http://biogeodb.stri.si.edu/physical_monitoring/,153, , ,Colón,Active,,,612623.9236000003,1026092.5091999993
